Al,a,i,k,t 
0,2,2,4,5 
0,3,2,1,5 
0,3,2,2,5 
0,3,2,3,5 
0,3,2,4,5 
0,4,2,1,5 
0,4,2,2,5 
0,4,2,3,5 
0,4,2,4,5 
0,5,2,1,5 
0,5,2,2,5 
0,5,2,3,5 
0,5,2,4,5 
0,6,2,1,5 
0,6,2,2,5 
0,6,2,3,5 
0,6,2,4,5 
0,7,2,1,5 
0,7,2,2,5 
0,7,2,3,5 
0,7,2,4,5 
0,8,2,1,5 
0,8,2,2,5 
0,8,2,3,5 
0,8,2,4,5 
0,9,2,1,5 
0,9,2,2,5 
0,9,2,3,5 
0,9,2,4,5 
0,10,2,1,5 
0,10,2,2,5 
0,10,2,3,5 
0,10,2,4,5 
0,1,3,1,5 
0,1,3,2,5 
0,1,3,3,5 
0,1,3,4,5 
0,2,3,1,5 
0,2,3,2,5 
0,2,3,3,5 
0,2,3,4,5 
0,3,3,1,5 
0,3,3,2,5 
0,3,3,3,5 
0,3,3,4,5 
0,4,3,1,5 
0,4,3,2,5 
0,4,3,3,5 
0,4,3,4,5 
0,5,3,1,5 
0,5,3,2,5 
0,5,3,3,5 
0,5,3,4,5 
0,6,3,1,5 
0,6,3,2,5 
0,6,3,3,5 
0,6,3,4,5 
0,7,3,1,5 
0,7,3,2,5 
0,7,3,3,5 
0,7,3,4,5 
0,8,3,1,5 
0,8,3,2,5 
0,8,3,3,5 
0,8,3,4,5 
0,9,3,1,5 
0,9,3,2,5 
0,9,3,3,5 
0,9,3,4,5 
0,10,3,1,5 
0,10,3,2,5 
0,10,3,3,5 
0,10,3,4,5 
0,1,1,1,4 
0,1,1,2,4 
0,1,1,3,4 
0,1,1,4,4 
0,2,1,1,4 
0,2,1,2,4 
101509,2,1,3,4 
0,2,1,4,4 
0,3,1,1,4 
47070,3,1,2,4 
0,3,1,3,4 
0,3,1,4,4 
13079,4,1,1,4 
0,4,1,2,4 
0,4,1,3,4 
0,4,1,4,4 
0,5,1,1,4 
14461,5,1,2,4 
0,5,1,3,4 
0,5,1,4,4 
41082,6,1,1,4 
0,6,1,2,4 
0,6,1,3,4 
0,6,1,4,4 
0,7,1,1,4 
16119,7,1,2,4 
0,7,1,3,4 
0,7,1,4,4 
0,8,1,1,4 
0,8,1,2,4 
11190,8,1,3,4 
0,8,1,4,4 
0,9,1,1,4 
0,9,1,2,4 
0,9,1,3,4 
11292,9,1,4,4 
0,10,1,1,4 
0,10,1,2,4 
0,10,1,3,4 
11513,10,1,4,4 
0,1,2,1,5 
0,1,2,2,5 
0,1,2,3,5 
0,1,2,4,5 
0,2,2,1,5 
0,2,2,2,5 
0,2,2,3,5 
0,2,2,4,5 
0,3,2,1,5 
0,3,2,2,5 
0,3,2,3,5 
0,3,2,4,5 
0,4,2,1,5 
0,4,2,2,5 
0,4,2,3,5 
0,4,2,4,5 
0,5,2,1,5 
0,5,2,2,5 
0,5,2,3,5 
0,5,2,4,5 
0,6,2,1,5 
0,6,2,2,5 
0,6,2,3,5 
0,6,2,4,5 
0,7,2,1,5 
0,7,2,2,5 
0,7,2,3,5 
0,7,2,4,5 
0,8,2,1,5 
0,8,2,2,5 
0,8,2,3,5 
0,8,2,4,5 
0,9,2,1,5 
0,9,2,2,5 
0,9,2,3,5 
0,9,2,4,5 
0,10,2,1,5 
0,10,2,2,5 
0,10,2,3,5 
0,10,2,4,5 
0,1,3,1,5 
0,1,3,2,5 
0,1,3,3,5 
0,1,3,4,5 
0,2,3,1,5 
0,2,3,2,5 
0,2,3,3,5 
0,2,3,4,5 
0,3,3,1,5 
0,3,3,2,5 
0,3,3,3,5 
0,3,3,4,5 
0,4,3,1,5 
0,4,3,2,5 
0,4,3,3,5 
0,4,3,4,5 
0,5,3,1,5 
0,5,3,2,5 
0,5,3,3,5 
0,5,3,4,5 
0,6,3,1,5 
0,6,3,2,5 
0,6,3,3,5 
0,6,3,4,5 
0,7,3,1,5 
0,7,3,2,5 
0,7,3,3,5 
0,7,3,4,5 
0,8,3,1,5 
0,8,3,2,5 
0,8,3,3,5 
0,8,3,4,5 
0,9,3,1,5 
0,9,3,2,5 
0,9,3,3,5 
0,9,3,4,5 
0,10,3,1,5 
0,10,3,2,5 
0,10,3,3,5 
0,10,3,4,5 
0,1,1,1,5 
0,1,1,2,5 
0,1,1,3,5 
0,1,1,4,5 
0,2,1,1,5 
0,2,1,2,5 
0,2,1,3,5 
0,2,1,4,5 
0,3,1,1,5 
0,3,1,2,5 
0,3,1,3,5 
0,3,1,4,5 
0,4,1,1,5 
0,4,1,2,5 
0,4,1,3,5 
0,4,1,4,5 
0,5,1,1,5 
0,5,1,2,5 
0,5,1,3,5 
0,5,1,4,5 
0,6,1,1,5 
0,6,1,2,5 
0,6,1,3,5 
0,6,1,4,5 
0,7,1,1,5 
0,7,1,2,5 
0,7,1,3,5 
0,7,1,4,5 
0,8,1,1,5 
0,8,1,2,5 
0,8,1,3,5 
0,8,1,4,5 
0,9,1,1,5 
0,9,1,2,5 
0,9,1,3,5 
0,9,1,4,5 
0,10,1,1,5 
0,10,1,2,5 
0,10,1,3,5 
0,10,1,4,5 
0,1,2,1,5 
0,1,2,2,5 
0,1,2,3,5 
0,1,2,4,5 
0,2,2,1,5 
0,2,2,2,5 
0,2,2,3,5 
0,2,2,4,5 
0,3,2,1,5 
0,3,2,2,5 
0,3,2,3,5 
0,3,2,4,5 
0,4,2,1,5 
0,4,2,2,5 
0,4,2,3,5 
0,4,2,4,5 
0,5,2,1,5 
0,5,2,2,5 
0,5,2,3,5 
0,5,2,4,5 
0,6,2,1,5 
0,6,2,2,5 
0,6,2,3,5 
0,6,2,4,5 
0,7,2,1,5 
0,7,2,2,5 
0,7,2,3,5 
0,7,2,4,5 
0,8,2,1,5 
0,8,2,2,5 
0,8,2,3,5 
0,8,2,4,5 
0,9,2,1,5 
0,9,2,2,5 
0,9,2,3,5 
0,9,2,4,5 
0,10,2,1,5 
0,10,2,2,5 
0,10,2,3,5 
0,10,2,4,5 
0,1,3,1,5 
0,1,3,2,5 
0,1,3,3,5 
0,1,3,4,5 
0,2,3,1,5 
0,2,3,2,5 
0,2,3,3,5 
0,2,3,4,5 
0,3,3,1,5 
0,3,3,2,5 
0,3,3,3,5 
0,3,3,4,5 
0,4,3,1,5 
0,4,3,2,5 
0,4,3,3,5 
0,4,3,4,5 
0,5,3,1,5 
0,5,3,2,5 
0,5,3,3,5 
0,5,3,4,5 
0,6,3,1,5 
0,6,3,2,5 
0,6,3,3,5 
0,6,3,4,5 
0,7,3,1,5 
0,7,3,2,5 
0,7,3,3,5 
0,7,3,4,5 
0,8,3,1,5 
0,8,3,2,5 
0,8,3,3,5 
0,8,3,4,5 
0,9,3,1,5 
0,9,3,2,5 
0,9,3,3,5 
0,9,3,4,5 
0,10,3,1,5 
0,10,3,2,5 
0,10,3,3,5 
0,10,3,4,5
