Al,tau,a,i,k,t 
0,3,3,2,1,5 
0,4,3,2,1,5 
0,5,3,2,1,5 
0,1,3,2,2,5 
0,2,3,2,2,5 
0,3,3,2,2,5 
0,4,3,2,2,5 
0,5,3,2,2,5 
0,1,3,2,3,5 
0,2,3,2,3,5 
0,3,3,2,3,5 
0,4,3,2,3,5 
4514,5,3,2,3,5 
0,1,3,2,4,5 
0,2,3,2,4,5 
0,3,3,2,4,5 
0,4,3,2,4,5 
0,5,3,2,4,5 
0,1,4,2,1,5 
0,2,4,2,1,5 
0,3,4,2,1,5 
0,4,4,2,1,5 
0,5,4,2,1,5 
0,1,4,2,2,5 
0,2,4,2,2,5 
0,3,4,2,2,5 
0,4,4,2,2,5 
0,5,4,2,2,5 
0,1,4,2,3,5 
0,2,4,2,3,5 
0,3,4,2,3,5 
0,4,4,2,3,5 
3592,5,4,2,3,5 
0,1,4,2,4,5 
0,2,4,2,4,5 
0,3,4,2,4,5 
0,4,4,2,4,5 
0,5,4,2,4,5 
0,1,5,2,1,5 
0,2,5,2,1,5 
0,3,5,2,1,5 
0,4,5,2,1,5 
0,5,5,2,1,5 
0,1,5,2,2,5 
0,2,5,2,2,5 
0,3,5,2,2,5 
0,4,5,2,2,5 
0,5,5,2,2,5 
0,1,5,2,3,5 
0,2,5,2,3,5 
0,3,5,2,3,5 
0,4,5,2,3,5 
5251,5,5,2,3,5 
0,1,5,2,4,5 
0,2,5,2,4,5 
0,3,5,2,4,5 
0,4,5,2,4,5 
0,5,5,2,4,5 
0,1,6,2,1,5 
0,2,6,2,1,5 
0,3,6,2,1,5 
0,4,6,2,1,5 
3685,5,6,2,1,5 
0,1,6,2,2,5 
0,2,6,2,2,5 
0,3,6,2,2,5 
0,4,6,2,2,5 
0,5,6,2,2,5 
0,1,6,2,3,5 
0,2,6,2,3,5 
0,3,6,2,3,5 
0,4,6,2,3,5 
0,5,6,2,3,5 
0,1,6,2,4,5 
0,2,6,2,4,5 
0,3,6,2,4,5 
0,4,6,2,4,5 
0,5,6,2,4,5 
0,1,7,2,1,5 
0,2,7,2,1,5 
0,3,7,2,1,5 
0,4,7,2,1,5 
4329,5,7,2,1,5 
0,1,7,2,2,5 
0,2,7,2,2,5 
0,3,7,2,2,5 
0,4,7,2,2,5 
0,5,7,2,2,5 
0,1,7,2,3,5 
0,2,7,2,3,5 
0,3,7,2,3,5 
0,4,7,2,3,5 
0,5,7,2,3,5 
0,1,7,2,4,5 
0,2,7,2,4,5 
0,3,7,2,4,5 
0,4,7,2,4,5 
0,5,7,2,4,5 
0,1,8,2,1,5 
0,2,8,2,1,5 
0,3,8,2,1,5 
0,4,8,2,1,5 
18791,5,8,2,1,5 
0,1,8,2,2,5 
0,2,8,2,2,5 
0,3,8,2,2,5 
0,4,8,2,2,5 
0,5,8,2,2,5 
0,1,8,2,3,5 
0,2,8,2,3,5 
0,3,8,2,3,5 
0,4,8,2,3,5 
0,5,8,2,3,5 
0,1,8,2,4,5 
0,2,8,2,4,5 
0,3,8,2,4,5 
0,4,8,2,4,5 
0,5,8,2,4,5 
0,1,9,2,1,5 
0,2,9,2,1,5 
0,3,9,2,1,5 
0,4,9,2,1,5 
