ExT,a,i,k,t 
17618,9,2,1,2 
17618,9,2,1,3 
17618,9,2,1,4 
17618,9,2,1,5 
17618,9,2,1,6 
17618,9,2,1,7 
17618,9,2,1,8 
17618,9,2,1,9 
17618,9,2,1,10 
2649,10,2,1,1 
2649,10,2,1,2 
2649,10,2,1,3 
2649,10,2,1,4 
2649,10,2,1,5 
2649,10,2,1,6 
2649,10,2,1,7 
2649,10,2,1,8 
2649,10,2,1,9 
2649,10,2,1,10 
10824,1,3,1,1 
10824,1,3,1,2 
10824,1,3,1,3 
10824,1,3,1,4 
10824,1,3,1,5 
10824,1,3,1,6 
10824,1,3,1,7 
10824,1,3,1,8 
10824,1,3,1,9 
10824,1,3,1,10 
3339,2,3,1,1 
3339,2,3,1,2 
3339,2,3,1,3 
3339,2,3,1,4 
3339,2,3,1,5 
3339,2,3,1,6 
3339,2,3,1,7 
3339,2,3,1,8 
3339,2,3,1,9 
3339,2,3,1,10 
23950,3,3,1,1 
23950,3,3,1,2 
23950,3,3,1,3 
23950,3,3,1,4 
23950,3,3,1,5 
23950,3,3,1,6 
23950,3,3,1,7 
23950,3,3,1,8 
23950,3,3,1,9 
23950,3,3,1,10 
4951,4,3,1,1 
4951,4,3,1,2 
4951,4,3,1,3 
4951,4,3,1,4 
4951,4,3,1,5 
4951,4,3,1,6 
4951,4,3,1,7 
4951,4,3,1,8 
4951,4,3,1,9 
4951,4,3,1,10 
1036,5,3,1,1 
1036,5,3,1,2 
1036,5,3,1,3 
1036,5,3,1,4 
1036,5,3,1,5 
1036,5,3,1,6 
1036,5,3,1,7 
1036,5,3,1,8 
1036,5,3,1,9 
1036,5,3,1,10 
4145,6,3,1,1 
4145,6,3,1,2 
4145,6,3,1,3 
4145,6,3,1,4 
4145,6,3,1,5 
4145,6,3,1,6 
4145,6,3,1,7 
4145,6,3,1,8 
4145,6,3,1,9 
4145,6,3,1,10 
29016,7,3,1,1 
29016,7,3,1,2 
29016,7,3,1,3 
29016,7,3,1,4 
29016,7,3,1,5 
29016,7,3,1,6 
29016,7,3,1,7 
29016,7,3,1,8 
29016,7,3,1,9 
29016,7,3,1,10 
54,8,3,1,1 
54,8,3,1,2 
54,8,3,1,3 
54,8,3,1,4 
54,8,3,1,5 
54,8,3,1,6 
54,8,3,1,7 
54,8,3,1,8 
54,8,3,1,9 
54,8,3,1,10 
10194,9,3,1,1 
10194,9,3,1,2 
10194,9,3,1,3 
10194,9,3,1,4 
10194,9,3,1,5 
10194,9,3,1,6 
10194,9,3,1,7 
10194,9,3,1,8 
10194,9,3,1,9 
