Al,a,i,k,t 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,11 
304530,2,1,1,11 
141210,3,1,1,11 
39240,4,1,1,11 
43386,5,1,1,11 
123249,6,1,1,11 
48360,7,1,1,11 
33573,8,1,1,11 
33879,9,1,1,11 
34542,10,1,1,11 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,12 
203020,2,1,1,12 
94140,3,1,1,12 
26160,4,1,1,12 
28924,5,1,1,12 
82166,6,1,1,12 
32240,7,1,1,12 
22382,8,1,1,12 
22586,9,1,1,12 
23028,10,1,1,12 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,13 
101510,2,1,1,13 
47070,3,1,1,13 
13080,4,1,1,13 
14462,5,1,1,13 
41083,6,1,1,13 
16120,7,1,1,13 
11191,8,1,1,13 
11293,9,1,1,13 
11514,10,1,1,13 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,14 
0,2,1,1,14 
0,3,1,1,14 
0,4,1,1,14 
0,5,1,1,14 
0,6,1,1,14 
0,7,1,1,14 
0,8,1,1,14 
0,9,1,1,14 
0,10,1,1,14 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14
